index,Consumption,Solar,Wind,hour,day,month,weekday,lag_1,lag_24,lag_48,lag_72,Predicted_Consumption,Total_Generation,Energy_Difference,Battery_Level,Grid_Usage
2020-10-23 16:00:00,19.926782222,0.0,28.2,16,23,10,4,21.232455556,22.635013333000003,21.939975556,35.534804444,21.019015173062936,28.2,7.180984826937063,91.85379440740537,0.0
2020-10-23 17:00:00,21.522413333000003,0.0,33.47,17,23,10,4,19.926782222,24.049737778,25.647164444,38.520471111,24.167607725971813,33.47,9.302392274028186,100.0,0.0
2020-10-23 18:00:00,31.03286,0.0,49.15,18,23,10,4,21.522413333000003,27.007888889,23.893337778000003,36.207926667,26.948866024109627,49.15,22.20113397589037,100.0,0.0
2020-10-23 19:00:00,28.307862222,0.0,59.58,19,23,10,4,31.03286,25.854195556,30.555384444,32.927488889,30.50742466221101,59.58,29.072575337788987,100.0,0.0
2020-10-23 20:00:00,25.561228889,0.0,25.62,20,23,10,4,28.307862222,26.933817778,29.430193333,29.99146,25.340781823532126,25.62,0.27921817646787517,100.0,0.0
2020-10-23 21:00:00,26.286453333,0.0,16.84,21,23,10,4,25.561228889,22.583137778,25.511062222,31.66396,22.782840511024546,16.84,-5.942840511024546,94.05715948897546,0.0
2020-10-23 22:00:00,27.54456,0.0,0.07,22,23,10,4,26.286453333,19.275417778,15.957773333,25.213831111,21.40957852367132,0.07,-21.33957852367132,72.71758096530414,0.0
2020-10-23 23:00:00,23.696355556,0.0,15.16,23,23,10,4,27.54456,18.773273333,15.385711111,14.746491111,21.240272789529012,15.16,-6.080272789529012,66.63730817577513,0.0
2020-10-24 00:00:00,21.725653333,0.0,0.0,0,24,10,5,23.696355556,19.993902222,19.382195556,21.961631111,21.287888853904334,0.0,-21.287888853904334,45.3494193218708,0.0
2020-10-24 01:00:00,20.672837778,0.0,0.0,1,24,10,5,21.725653333,19.950575556,20.039702222,20.822411111,20.237194864374334,0.0,-20.237194864374334,25.112224457496463,0.0
2020-10-24 02:00:00,22.023182222,0.0,0.0,2,24,10,5,20.672837778,25.149137778000004,20.990922222,20.132668889,20.152335046169547,0.0,-20.152335046169547,4.959889411326916,0.0
2020-10-24 03:00:00,18.773068889,0.0,0.0,3,24,10,5,22.023182222,18.474293333,15.691683333,17.250142222,19.079233366796544,0.0,-19.079233366796544,0.0,14.119343955469628
2020-10-24 04:00:00,19.909524444,0.0,0.0,4,24,10,5,18.773068889,18.044722222,18.213892222,18.935377778,17.429773496108222,0.0,-17.429773496108222,0.0,17.429773496108222
2020-10-24 05:00:00,22.518517778000003,0.0,0.0,5,24,10,5,19.909524444,20.63142,22.70284,22.823137778000003,19.251641265414836,0.0,-19.251641265414836,0.0,19.251641265414836
2020-10-24 06:00:00,23.179024444,0.0,0.0,6,24,10,5,22.518517778000003,26.005255556,25.588833333,28.258004444,23.78093405576355,0.0,-23.78093405576355,0.0,23.78093405576355
2020-10-24 07:00:00,28.814844444,1.50775,0.0,7,24,10,5,23.179024444,30.213026667,25.899882222,26.318024444,27.176962607985473,1.50775,-25.66921260798547,0.0,25.66921260798547
2020-10-24 08:00:00,27.931531111,18.8234995,0.0,8,24,10,5,28.814844444,28.399253333,25.366675556,26.674324444,26.20985536708131,18.8234995,-7.38635586708131,0.0,7.38635586708131
2020-10-24 09:00:00,25.172817778,46.097416,0.65,9,24,10,5,27.931531111,21.965744444,24.146364444,23.064688889,25.694238315218907,46.747416,21.053177684781094,21.053177684781094,0.0
2020-10-24 10:00:00,20.227306667,49.91075000000001,0.0,10,24,10,5,25.172817778,19.032417778,19.57116,18.371882222,21.790836948132682,49.91075000000001,28.119913051867325,49.17309073664842,0.0
2020-10-24 11:00:00,22.241228889,47.231751,0.0,11,24,10,5,20.227306667,18.627035556,23.71142,19.555477778,18.8069642608746,47.231751,28.424786739125402,77.59787747577383,0.0
2020-10-24 12:00:00,26.658222222,29.233000000000004,0.0,12,24,10,5,22.241228889,22.612848889,28.298362222,24.016037778,21.198904981819833,29.233000000000004,8.034095018180171,85.631972493954,0.0
2020-10-24 13:00:00,27.173502222,8.0415833,0.0,13,24,10,5,26.658222222,21.47468,23.570984444,26.854337778,25.293378089968765,8.0415833,-17.251794789968766,68.38017770398523,0.0
2020-10-24 14:00:00,25.877455556,2.1190834,0.0,14,24,10,5,27.173502222,24.498708889,27.47886,27.259368889,25.319586897935764,2.1190834,-23.200503497935763,45.17967420604946,0.0
2020-10-24 15:00:00,23.58334,0.0931,0.0,15,24,10,5,25.877455556,21.232455556,25.575557778,18.696226667,25.03280995856152,0.0931,-24.93970995856152,20.239964247487944,0.0
2020-10-24 16:00:00,22.159622222,0.0,0.0,16,24,10,5,23.58334,19.926782222,22.635013333000003,21.939975556,22.47835196316275,0.0,-22.47835196316275,0.0,2.2383877156748078
2020-10-24 17:00:00,24.798297778,0.0,0.0,17,24,10,5,22.159622222,21.522413333000003,24.049737778,25.647164444,24.70218920190041,0.0,-24.70218920190041,0.0,24.70218920190041
